Addres,Store,Brand,Amount,Unique_Brands
"632 Vanderbilt Ave, Brooklyn, NY 11238",Foodtown of Prospect Heights,"Skippy, JIF, Smuckers, Justins', Peanut Butter&Co, Once Again, CB's Nuts, Bazzini, Ricards 100% Peanuts, Earth Balance, Wow Butter, Biscoff, Sweet Ellas, One Trick Pony, Mumgry, Teddie, Sqrl, Reese's, Smartbalance, Peter Pan, Creamnut",21,21
"130 7th Ave, Brooklyn, NY 11215",Key Food Urban Market Place,"Skippy, JIF, Peter Pan, Teddie, Urbanmeadow, Brad's, PB2, Peanut Butter&Co, Santa Cruz, Justins', Urbanmeadow, Smuckers, Once Again, Reese's",13,13
"720 Washington Ave, Brooklyn, NY 11238",Ideal Food Basket,"Once Again, Ricards 100% Peanuts, Wild Harvest, Skippy, Smuckers, JIF, Essentials Everyday Peanut Butter, Justins', Peanut Butter&Co, Peter Pan, Reese's, Santa Cruz",12,12
"812 Franklin Ave, Brooklyn, NY 11225",812 Corp,"Justins', Smuckers, JIF, Skippy, Reese's, Peter Pan, Peanut Butter&Co, CB's Nuts, Nutty Gourmet",9,9
"782 Union St, Brooklyn, NY 11215",Park Slope Food Coop,"Smuckers, Once Again, Justins', Field Day, Woodstock, Peanut Butter&Co, Sweet Ellas,PB2, ",8,8
"744 Franklin Ave, Brooklyn, NY 11238",Mr Kale,"Once Again, Justins', JIF, Brad's, Skippy, Creamnut, Teddie, Smuckers",8,8
"790 Franklin Ave, Brooklyn, NY 11238",Frank's Finest Deli,"Skippy, JIF, Justins', Essentials Everyday Peanut Butter, BNutty, Once Again, Mara Nath, Richards100%Peanuts",8,8
"393 Lincoln PL, Brooklyn, NY 11238",Gourmet Deli,"Sweet Ellas, Brad's, Creamnut, Once Again, Peanut Deligth, Peanut Butter&Co, Skippy",7,7
"75 7th Ave, Brooklyn, NY 11217",7th Avenue Gourmet,"Once Again, Santa Cruz, Justins', Skippy, Peanut Butter&Co, JIF",6,6
"98 Montgomery St, Brooklyn, NY 11225",Family Supermarket,"JIF, Peanut Butter&Co, Skippy, Brad's, Creamnut",5,5
"769 Franklin Ave, Brooklyn, NY 11238",SJ Green Market,"Once Again, Creamnut, Brad's",3,3
"322 Flatbush Ave, Brooklyn, NY 11238",DNY Natural Land,"Brad's, Creamnut, Once Again",3,3
"323 St Johns Pl, Brooklyn, NY 11238",St Johns Natural Food,"Ricards 100% Peanuts, Creamnut",2,2
"746 Washington Ave, Brooklyn, NY 11238",Cepeda Grocery,Skippy,1,1
"296 Flatbush Ave, Brooklyn, NY 11217",Duane Reed,JIF,1,1
